id,nama,tipe_kode,tipe_label,lat,lon
aplicares_1028,DR. TRISNA SAYEKTI,U,Praktik Dokter,-7.59395,112.784
aplicares_1029,DR. ABDUL MUKID,U,Praktik Dokter,-7.65467,112.704
aplicares_1030,DR KERISFI MEGAH P,U,Praktik Dokter,-7.71839,112.72
aplicares_1031,DR LILIAN RAHMA ANANDA,U,Praktik Dokter,-7.60145,112.749
aplicares_1032,GANTING,0,Puskesmas (kode 0),-7.40324,112.701
aplicares_1033,POLRES SIDOARJO,B,Klinik,-7.45093,112.721
aplicares_1034,SATKES PUSDIK SABHARA PORONG,B,Klinik,-7.54144,112.698
aplicares_1035,SIDODADI,1,Puskesmas (kode 1),-7.4602632975227525,112.68742110681536
aplicares_1036,WONOKASIAN,1,Puskesmas (kode 1),-7.42779,112.655
aplicares_1037,TARIK 2,1,Puskesmas (kode 1),-7.46016,112.516
aplicares_1038,TAMBAKREJO,1,Puskesmas (kode 1),-7.35368,112.779
aplicares_1039,Apotik As-Shafa,A,Apotek/IFRS,-7.36166,112.731
aplicares_1040,IF RUMKITBAN SIDOARJO,A,Apotek/IFRS,-7.44452,112.717
aplicares_1041,IFRS MATA FATMA,A,Apotek/IFRS,-7.35308,112.691
aplicares_1042,IFRS AL-ISLAM HM MAWARDI,A,Apotek/IFRS,-7.417,112.717
aplicares_1043,IF RSI SITI HAJAR,A,Apotek/IFRS,-7.4575,112.722
aplicares_1044,IFRS CITRA MEDIKA,A,Apotek/IFRS,-7.433165631176323,112.4636098306885
aplicares_1045,APOTEK KIMIA FARMA 124 SEDATI,A,Apotek/IFRS,-7.37782,112.763
aplicares_1046,IFRSU BUNDA,A,Apotek/IFRS,-7.35188,112.771
aplicares_1047,IFRS AISYIYAH SITI FATIMAH,A,Apotek/IFRS,-7.48567,112.653
aplicares_1048,IFRS MITRA KELUARGA WARU,A,Apotek/IFRS,-7.238277,112.75280988
aplicares_1049,IFRS MITRA SEHAT MANDIRI,A,Apotek/IFRS,-7.431954406843488,112.57380998733538
aplicares_1050,IF RSI AMINAH,A,Apotek/IFRS,-7.390121030437584,112.71875656249995
aplicares_1051,IFRSU JASEM,A,Apotek/IFRS,-7.45934,112.722
aplicares_1052,IFRS RAHMAN RAHIM,A,Apotek/IFRS,-7.42056,112.672
aplicares_1053,KIMIA FARMA 261 MOJOPAHIT,A,Apotek/IFRS,-7.461108809064219,112.7172726303625
aplicares_1054,APOTEK KIMIA FARMA PURI INDAH ,A,Apotek/IFRS,-7.44328182186915,112.6889143050003
aplicares_1055,IFRSIA PONDOK TJANDRA,A,Apotek/IFRS,-7.34532,112.779
aplicares_1056,IF RS ARAFAH ANWAR MEDIKA,A,Apotek/IFRS,-7.394251880632986,112.6729766190338
aplicares_1057,IFRS Delta Surya,A,Apotek/IFRS,-7.447140895530993,112.70159042480468
aplicares_1058,IFRSU PRIMA HUSADA,A,Apotek/IFRS,-7.352862503399487,112.76626217219113
aplicares_1059,IFRS PUSURA CANDI,A,Apotek/IFRS,-7.48638,112.713
aplicares_1060,KIMIA FARMA 180 PAHLAWAN,A,Apotek/IFRS,-7.44967454831024,112.70827118382802
aplicares_1061,IFRS SHEILA MEDIKA,A,Apotek/IFRS,-7.3716579,112.7575691
aplicares_1062,IFRSUD SIDOARJO BARAT,A,Apotek/IFRS,-7.40672,112.585
aplicares_1063,KIMIA FARMA 119 DELTASARI,A,Apotek/IFRS,-7.3636,112.73377
aplicares_1064,IFRSIA SOERYA,A,Apotek/IFRS,-7.3521788436447,112.69169173244
aplicares_1065,KIMIA FARMA KRIAN,A,Apotek/IFRS,-7.404359399987455,112.58605963590621
aplicares_1066,APOTEK KIMIA FARMA WAGE,A,Apotek/IFRS,-7.36845,112.71568
aplicares_1067,IFRS ASSAKINAH MEDIKA,A,Apotek/IFRS,-7.41442,112.674
aplicares_1068,IFRS USADA,A,Apotek/IFRS,-7.37058,112.713
aplicares_1069,APOTEK KIMIA FARMA TROPODO,A,Apotek/IFRS,-7.35477,112.7658
aplicares_1070,BP KLINIK TARRIZA (JST),B,Klinik,-7.35246,112.758
aplicares_1071,BP KLINIK KRIAN MEDIKA (JST),B,Klinik,-7.42712,112.589
aplicares_1072,SURYA GIRI JAYA I (JST),B,Klinik,-7.34515,112.767
aplicares_1073,BP ASHABUL KAHFI 60 (JST),B,Klinik,-7.38386,112.768
aplicares_1074,MUTIARA SAKINAH 09 (JST),B,Klinik,-7.35879,112.683
aplicares_1075,KLINIK 57,B,Klinik,-7.35578,112.729
aplicares_1076,KLINIK 63,B,Klinik,-7.355,112.775
aplicares_1077,SATRIA NAMIRA HUSADA 49 (JST),B,Klinik,-7.42538,112.723
aplicares_1078,BP PBD MUTIARA SAKINAH 76,B,Klinik,-7.37344,112.642
aplicares_1079,KLINIK MITRA 94 (JST),B,Klinik,-7.44279,112.643
aplicares_1080,BP KLINIK DR NANNY K (JST),B,Klinik,-7.399295304992838,112.6732193556377
aplicares_1081,SATRIA NAMIRA HUSADA 92 (JST),B,Klinik,-7.5003,112.709
aplicares_1082,BP KLINIK RAHAYU (JST),B,Klinik,-7.37026,112.651
aplicares_1083,BP MUTIARA SAKINAH 16 (JST),B,Klinik,-7.398966055782227,112.59280198049545
aplicares_1084,BP. CANDI TNI AL,B,Klinik,-7.48364,112.703
aplicares_1085,BP. GEDANGAN TNI AL,B,Klinik,-7.40451,112.726
aplicares_1086,Klinik Pratama BP Samudra,B,Klinik,-7.38304,112.634
aplicares_1087,BP. SAWO TRATAP TNI AL,B,Klinik,-7.3695,112.732
aplicares_1088,BP BP R. SUHADI,B,Klinik,-7.37905,112.733
aplicares_1089,BP MUTIARA SAKINAH 17 (JST),B,Klinik,-7.45103382945844,112.71915154481077
aplicares_1090,BP MUTIARA SAKINAH 48 (JST),B,Klinik,-7.484670637423804,112.712549388889
aplicares_1091,NAYAKA HUSADA 61 (JST),B,Klinik,-7.3507745821482535,112.6923460049629
aplicares_1092,KLINIK MITRA 62 (JST),B,Klinik,-7.40783,112.578
aplicares_1093,MUTIARA SAKINAH 75 (JST),B,Klinik,-7.4846558464797,112.65239562583
aplicares_1094,BP JEREMY MEDICAL S (JST),B,Klinik,-7.38075,112.749
aplicares_1095,BP ANUGRAH KARYA MEDIKA (JST),B,Klinik,-7.44455,112.688
aplicares_1096,BP KLINIK PUCANG,B,Klinik,-7.44278,112.724
aplicares_1097,BP WIETA RELASA MEDIKA (JST),B,Klinik,-7.38739,112.728
aplicares_1098,BP PRIMA MEDIKA (JST),B,Klinik,-7.38469,112.728
aplicares_1099,BP MEDIS MELATI (JST),B,Klinik,-7.41084,112.578
aplicares_1100,BP HIDAYAH WARU IV (JST),B,Klinik,-7.35214,112.739
aplicares_1101,KLINIK MEDIKA UTAMA,B,Klinik,-7.4144,112.52
aplicares_1102,BP PDB MITRA SEHAT (JST),B,Klinik,-7.42501,112.722
aplicares_1103,BP MEDICA UTAMA (JST),B,Klinik,-7.38823,112.747
aplicares_1104,Klinik DKT II,B,Klinik,-7.43474,112.682
aplicares_1105,KLINIK NUSAMEDIKA KREMBOONG,B,Klinik,-7.51215,112.621
aplicares_1106,BP POLIKLINIK WATU TULIS,B,Klinik,-7.44225,112.572
aplicares_1107,Klinik dr. Idris P. Siregar,B,Klinik,-7.2060833439346,112.73837014484
aplicares_1108,BP RUMKITAL SOEKANTYO JAHJA,B,Klinik,-7.39036,112.777
aplicares_1109,ASY-SYIFA' PPDFP,B,Klinik,-7.38854,112.607
aplicares_1110,BP KLINIK HABIBAH,B,Klinik,-7.49716,112.608
aplicares_1111,BP KLINIK MEDIS AR-ROHMAH,B,Klinik,-7.48091,112.646
aplicares_1112,KLINIK KOPKAR COMFEED MAKMUR,B,Klinik,-7.4178,112.725
aplicares_1113,BP KLINIK CENDEKIA HUSADA,B,Klinik,-7.46286,112.735
aplicares_1114,BP KLINIK PUSURA CANDI,B,Klinik,-7.47857,112.714
aplicares_1115,KLINIK AL HIDAYAH,B,Klinik,-7.39259,112.601
aplicares_1116,KLINIK RAWAT INAP SIAGA MEDIKA,B,Klinik,-7.51928,112.681
aplicares_1117,KLINIK SUKODONO SEHAT,B,Klinik,-7.39124,112.647
aplicares_1118,KLINIK HJ.TARPIANIE,B,Klinik,-7.46205,112.572
aplicares_1119,KLINIK AL IKHLAS,B,Klinik,-7.38142,112.743
aplicares_1120,KLINIK PERMATA KIRANA,B,Klinik,-7.351346908479395,112.69145338283377
aplicares_1121,KLINIK PURNAMA MEDIKA,B,Klinik,-7.43238,112.729
aplicares_1122,KLINIK SITI KHODIJAH PRIMA,B,Klinik,-7.347863740850748,112.7021419329384
aplicares_1123,KLINIK SITI SUAIBAH,B,Klinik,-7.37348,112.596
aplicares_1124,BDS TEBEL,B,Klinik,-7.404889693470768,112.72674250793457
aplicares_1125,B CLINIC ,B,Klinik,-7.3911,112.721
aplicares_1126,KLINIK AMELIA,B,Klinik,-7.39074,112.713
aplicares_1127,KLINIK BUNDA,B,Klinik,-7.49723,112.688
aplicares_1128,KLINIK CITRA HUSADA,B,Klinik,-7.43801,112.7
aplicares_1129,KLINIK RUMAH SEHAT BAZNAS,B,Klinik,-7.39588,112.682
aplicares_1130,Klinik BAPI,B,Klinik,-7.41656,112.583
aplicares_1131,Klinik Geo Medika ,B,Klinik,-7.34967,112.753
aplicares_1132,KIMIA FARMA NO 124 SEDATI,B,Klinik,-7.37786,112.763
aplicares_1133,KLINIK RAWAT INAP YOSTAVAN,B,Klinik,-7.48111,112.584
aplicares_1134,MUHAMMADIYAH AISYAH,B,Klinik,-7.36693,112.705
aplicares_1135,GRAHA MEDIKA ,B,Klinik,-7.34978,112.748
aplicares_1136,DIAN HUSADA,B,Klinik,-7.45146,112.717
aplicares_1137,KLINIK ENDANG WIDAYAT,B,Klinik,-7.36411,112.722
aplicares_1138,SOEWANDI HUSADA,B,Klinik,-7.47288,112.618
aplicares_1139,KLINIK RAWAT INAP AMINAH,B,Klinik,-7.491402538373777,112.65760535287858
aplicares_1140,KHARISMA MEDIKA,B,Klinik,-7.36805,112.714
aplicares_1141,KLINIK AFIFA,B,Klinik,-7.39557,112.704
aplicares_1142,DELTA MUTIARA,B,Klinik,-7.42517,112.681
aplicares_1143,LAYAR HUSADA,B,Klinik,-7.42381,112.718
aplicares_1144,KLINIK UMUM KASIH IBU ,B,Klinik,-7.39557,112.597
aplicares_1145,KLINIK PRIMA MEDIKA DR RATIH,B,Klinik,-7.47496,112.649
aplicares_1146,KLINIK JATI KEPUH ,B,Klinik,-7.46543,112.718
aplicares_1147,KLINIK CIKKO PRIMA HUSADA,B,Klinik,-7.45439,112.496
aplicares_1148,KLINIK JASMINE,B,Klinik,-7.3934,112.765
aplicares_1149,KLINIK BAROKAH MEDIKA,B,Klinik,-7.36218,112.734
aplicares_1150,KLINIK LANUD MULJONO,B,Klinik,-7.377473364283833,112.75072899532319
aplicares_1151,KLINIK CAHAYA BINTANG MEDICAL ,B,Klinik,-7.57179,112.743
aplicares_1152,KLINIK SYIFA'UN NAAS,B,Klinik,-7.46474,112.665
aplicares_1153,FATIMAH MEDIKA,B,Klinik,-7.39612,112.612
aplicares_1154,SEHATI,B,Klinik,-7.35213,112.738
aplicares_1155,KLINIK UMUM JIHAN MEDIKA,B,Klinik,-7.3655,112.746
aplicares_1156,NU TULANGAN,B,Klinik,-7.46026,112.649
aplicares_1157,GIBRAN MEDICA UTAMA,B,Klinik,-7.36227,112.762
aplicares_1158,KLINIK AFIYAH,B,Klinik,-7.38525,112.718
aplicares_1159,KLINIK ATTA MEDIKA,B,Klinik,-7.397,112.627
aplicares_1160,KLINIK RAWAT INAP RIZKY,B,Klinik,-7.3657,112.695
aplicares_1161,KLINIK LINDRA HUSADA,B,Klinik,-7.38074,112.7
aplicares_1162,KLINIK MEDISKA SIDOARJO,B,Klinik,-7.45719,112.713
aplicares_1163,KLINIK PRATAMA DR.ANDRE YULIUS,B,Klinik,-7.3874,112.684
