kategori,sumber,nama,detail,alamat,kecamatan,kabupaten,lat,lon
bank,bri,UNIT A YANI NGANJUK,KC Nganjuk,"Jl. Ahmad Yani 187,",,,-7.60863,111.90007
bank,bri,UNIT BARON NGANJUK,KC Nganjuk,"Dsn Wates,",,,-7.60649,112.05231
bank,bri,UNIT NGANJUK KOTA,KC Nganjuk,"Jl. SupriyadiNganjuk,",,,-7.60074,111.90032
bank,bri,UNIT KERTOSONO II NGANJUK,KC Nganjuk,"Jl. Gatot Subroto No.31, Kel. Kutorejo,",,,-7.59249,112.10631
bank,bri,UNIT REJOSO SELATAN NGANJUK,KC Nganjuk,"Desa Ngreco,",,,-7.56694,111.87998
bank,bri,UNIT LENGKONG NGANJUK,KC Nganjuk,"Jl Merdeka Selatan NoLengkong,",,,-7.53508,112.07505
bank,bri,UNIT REJOSO UTARA NGANJUK,KC Nganjuk,"Desa Talang,",,,-7.52752,111.90682
bank,bri,UNIT KENDAL NGAWI,KC Ngawi,"Jl. Raya KendalPanekan, Desa / Kec. Kendal,",,,-7.56435,111.28843
bank,bri,UNIT KERASWETAN NGAWI,KC Ngawi,"Jl. Raya Keras Wetan Desa Keras Wetan,",,,-7.53083,111.42927
bank,bri,UNIT POJOK NGAWI,KC Ngawi,"Jl. Raya Pojok, Desa Pojok Kec. Kwadungan, 9",,,-7.49953,111.46847
bank,bri,UNIT KEDUNGGALAR NGAWI,KC Ngawi,"Jl.Raya Kedunggalar,Plosorejo,Kedunggalar,",,,-7.4193,111.30718
bank,bri,UNIT AHMAD YANI NGAWI,KC Ngawi,"Jl. Ahmad Yani, Desa Beran Kec. Ngawi,",,,-7.41815,111.44187
bank,bri,KC Ngawi,KC Ngawi,"Jl. A. Yani No. 55, Ngawi",,,-7.41272,111.44298
bank,bri,UNIT RONGGOWARSITO NGAWI,KC Ngawi,"Jl. Ronggowarsito No.Ngawi,",,,-7.40017,111.44373
bank,bri,UNIT PASAR BESAR NGAWI,KC Ngawi,"Jl. Diponegoro No.Ngawi,",,,-7.39868,111.44698
bank,bri,UNIT MANTINGAN NGAWI,KC Ngawi,"Jl. Raya NgawiSolo, Mantingan,",,,-7.3637,111.14372
bank,bri,UNIT NGADIROJO UTARA PACITAN,KC Pacitan,"Jl. Raya Lorok,",,,-8.20979,111.32637
bank,bri,KC Pacitan,KC Pacitan,"Jl. Jend. A. Yani No. 18, Pacitan",,,-8.19515,111.10585
bank,bri,UNIT KETRO PACITAN,KC Pacitan,"Jl. Raya Pacitan Lorok,",,,-8.17649,111.19896
bank,bri,UNIT NAWANGAN PACITAN,KC Pacitan,"Jl. Raya Nawangan,",,,-7.99016,111.17272
bank,bri,UNIT KOTA PAMEKASAN,KC Pamekasan,"KH Amin Jakfar No4, Gladak Anyar, Pamekasan",,,-7.15729,113.47812
bank,bri,UNIT TERMINAL PAMEKASAN,KC Pamekasan,"Jl. Stadion No.Lawangan,",,,-7.15156,113.49097
bank,bri,UNIT PURWODADI PASURUAN,KC Pasuruan,"Jl Raya Purwodadi-Nongkojajar No.1, Purwodadi",,,-7.80381,112.73599
bank,bri,UNIT GONDANG WETAN PASURUAN,KC Pasuruan,"Jl.Raya Keboncandi No. 101,",,,-7.70292,112.90353
bank,bri,UNIT GRATI PASURUAN,KC Pasuruan,"Jl. Dsn. Krajan Selatan RTRW 02, Ds. Gedungjati, Kec. Grati, Kab. Pasuruan",,,-7.69922,112.98888
bank,bri,UNIT PANDAAN I PASURUAN,KC Pasuruan,"Jl.Pasar Baru Pandaan,",,,-7.65653,112.69636
bank,bri,UNIT PANDAAN II PASURUAN,KC Pasuruan,"Ruko Candra Sukun,Pandaan,",,,-7.64966,112.69786
bank,bri,UNIT NGRAYUN PONOROGO,KC Ponorogo,"Dukuh Krajan RT.01/01 Ds.Baosan Lor Ngrayun,",,,-8.05635,111.45781
bank,bri,UNIT SAMBIT PONOROGO,KC Ponorogo,"Jl Ponorogo Trenggalek Kec Sambit Ponorogo,",,,-7.96303,111.52144
bank,bri,UNIT BRAHU PONOROGO,KC Ponorogo,"Ds. Sawuh Kec. Siman Ponorogo,",,,-7.88521,111.49213
bank,bri,UNIT KOTA II PONOROGO,KC Ponorogo,"Jl. Diponegoro No.19 Ponorogo,",,,-7.8684,111.46113
bank,bri,UNIT KAUMAN PONOROGO,KC Ponorogo,"Jl Diponegoro Sumoroto,",,,-7.86581,111.407
bank,bri,UNIT SUKOREJO PONOROGO,KC Ponorogo,"Jl Raya Sukorejo Kec Sukorejo Ponorogo,",,,-7.85669,111.43589
bank,bri,UNIT PASAR PON PONOROGO,KC Ponorogo,"Jl. Batoro KatongPonorogo,",,,-7.85573,111.49296
bank,bri,UNIT MARON PROBOLINGGO,KC Probolinggo,"Jl.Raya Maron No.108 Rt.15/5 Maron Kidul,",,,-7.85334,113.36128
bank,bri,UNIT SUMBERASIH PROBOLINGGO,KC Probolinggo,"Jl. Raya Bromo Desa Muneng Leres,",,,-7.79482,113.16229
bank,bri,UNIT BESUK PROBOLINGGO,KC Probolinggo,"Jl. Raya BesukDesa Besuk Agung,",,,-7.78126,113.47686
bank,bri,UNIT PLAZA PROBOLINGGO,KC Probolinggo,"Jl.Dr.Sutomo No.5 Probolinggo,",,,-7.75328,113.21723
bank,bri,UNIT SEKARMULYA SAMPANG,KC Sampang,"Jl. RajawaliA, Sampang,",,,-7.19964,113.242
bank,bri,UNIT SRIMANGUNAN SAMPANG,KC Sampang,"Jl.Kh Wahid Hasyim No 107,",,,-7.19018,113.24644
bank,bri,UNIT KARTINI SEMARANG MURA,KC Semarang Patimura,"Jl. KartiniD, 2",,,-7.16377,112.64216
bank,bri,UNIT TANGGUL ANGIN SIDOARJO,KC Sidoarjo,"Jl. Raya NgabanTanggulangin,",,,-7.50242,112.7094
bank,bri,UNIT CANDI SIDOARJO,KC Sidoarjo,"JL.GATOT SUBROTO NO 51-52, DESA LARANGAN, KECAMATAN CANDI SIDOARJO",,,-7.46898,112.71332
bank,bri,KK POLRES SIDOARJO,KC Sidoarjo,Jl. Kombespol M. Duriat No.45,,,-7.45141,112.72125
bank,bri,UNIT TAMAN WARU,KC Waru,"Komp. Ruko Taman No.58, Taman,",,,-7.4264417,112.70882
bank,bri,UNIT BALONG BENDO KRIAN,KC Krian,"Jl. Raya Mayjen Bambang Yuwono RT 7/1,",,,-7.41185,112.55903
bank,bri,UNIT KEMASAN KRIAN,KC Krian,"Jl. Raya Kemasan Krian,",,,-7.403,112.58748
bank,bri,UNIT TROPODO SIDOARJO,KC Sidoarjo,"Jl. Raya Buncitan, Desa Pepe,",,,-7.396052,112.782166
bank,bri,UNIT TROSOBO KRIAN,KC Krian,"Jl. Bringin Indah Blok G-3/6 Trosobo,",,,-7.37037,112.65099
bank,bri,UNIT BANGAH WARU,KC Waru,"Jl. Aria Bebangah No.240B, Pepelegi, Waru,",,,-7.36978,112.71833
bank,bri,KC Waru,KC Waru,"Komp Pertokoan Gateway Aloha Blok B-07, Jl Raya Waru, Kec Gedangan sidoarjo",,,-7.36815,112.72866
bank,bri,UNIT BUNGURASIH WARU,KC Waru,"Jl. Letjen Sutoyo No.01 C Waru,",,,-7.35575,112.72847
bank,bri,UNIT BANYUPUTIH SITUBONDO,KC Situbondo,"Jl. Raya Banyuwangi No. 5, 4",,,-7.78169,114.29862
bank,bri,UNIT JANGKAR SITUBONDO,KC Situbondo,"Jl. Raya Asembagus 564,",,,-7.74976,114.21447
bank,bri,UNIT BESUKI II SITUBONDO,KC Situbondo,"Jl. Tanjung No.19 Rt.02/04, Besuki, Besuki",,,-7.73367,113.69077
bank,bri,UNIT SAPUDI SUMENEP,KC Sumenep,"Jl.Raya Pancor, Kec. Gayam,",,,-7.10952,114.32255
bank,bri,UNIT KOTA SUMENEP,KC Sumenep,"Jl. Kh. Mansyur No.Ds Pangarangan,",,,-7.00819,113.86743
bank,bri,UNIT AMBUNTEN SUMENEP,KC Sumenep,"Jl. Raya Ambunten No. 4,",,,-6.89161,113.72531
bank,bri,UNIT SIWALAN INDAH SURABAYA JE,KC Surabaya Jemursari,"JL. Kutisari Selatan No.123 A, Kec Tenggius Mejoyo Kota Surabaya",,,-7.33594,112.74377
bank,bri,KK ASABRI SURABAYA,KC Surabaya Diponegoro,Jl. Gayungan PTT No.34 Surabaya,,,-7.33585,112.72762
bank,bri,UNIT KEMLATEN HR MUHAMMAD,KC Surabaya HR Muhammad,"Kebraon Tengah Ruko Karteka Niaga Blok GC 20,",,,-7.33257,112.70061
bank,bri,UNIT RUNGKUT ASRI SURABAYA JEM,KC Surabaya Jemursari,"Jl Rungkut Mapan Utara Ba21,",,,-7.33155,112.77363
bank,bri,KK RS ISLAM JEMURSARI,KC Surabaya Jemursari,"RS. Islam Jemursari, Jl. Raya Jemursari No.51-57, Surabaya",,,-7.32892,112.75112
bank,bri,UNIT MEJOYO SURABAYA JEMURSARI,KC Surabaya Jemursari,"Rungkut Asri UtaraKav 6,",,,-7.3231,112.77569
bank,bri,KK GRAHA PENA SURABAYA,KC Surabaya Jemursari,"Gedung Graha Pena Ruang R.Jl. A. Yani No. 88,Kel. Ketintang, Kec. Gayungan, Surabaya",,,-7.31996,112.7323
bank,bri,UNIT KARAH AGUNG DIPONEGORO,KC Surabaya Diponegoro,"Jl Karah Agung No. 42C,",,,-7.31198,112.71874
bank,bri,UNIT WIYUNG HR MUHAMMAD,KC Surabaya HR Muhammad,"Ruko Babatan Pratama Blok A6,",,,-7.31157,112.68703
bank,bri,UNIT WONOKROMO DIPONEGORO,KC Surabaya Diponegoro,"Jl. Ketintang No. 79,",,,-7.30883,112.7275
bank,bri,UNIT LAKAR SANTRI MANUKAN,KC Manukan,"Jl. Raya Lakarsantri Rt1/Rw1,",,,-7.30444,112.63588
bank,bri,UNIT BRATANG SURABAYA JEMURSAR,KC Surabaya Jemursari,"Jl Barata Jaya No. 59,",,,-7.29931,112.76155
bank,bri,KK KODAM BRAWIJAYA,KC Surabaya Kaliasin,"Makodam V Brawijaya, jln Hayam Wuruk 1, Surabaya",,,-7.29908,112.72787
bank,bri,UNIT MAYJEN SUNGKONO SURABAYA,KC Surabaya HR Muhammad,"Komp. Ruko Darmo Park I Blok Iii A No. 2,",,,-7.29123,112.71757
bank,bri,KC Surabaya HR Muhammad,KC Surabaya HR Muhammad,"Jl HR Muhamad Kav. 41,Kc. Suko Manunggal, Surabaya",,,-7.28614,112.69831
bank,bri,KC Surabaya Diponegoro,KC Surabaya Diponegoro,"Jl. Diponegoro no 174, Surabaya",,,-7.27952,112.73075
