id,nama,tipe_kode,tipe_label,lat,lon,wkt_point,punya_isochrone
aplicares_3876,Tiris ,2,Puskesmas (kode 2),-7.94873,113.403,POINT(113.403 -7.94873),False
aplicares_3877,Ranugedang ,2,Puskesmas (kode 2),-7.89978,113.352,POINT(113.352 -7.89978),False
aplicares_3878,OPTIK YULIANA,O,Optik,-7.760763,113.41957,POINT(113.41957 -7.760763),False
aplicares_3879,OPTIK SINAR JAYA,O,Optik,-7.760846,113.422661,POINT(113.422661 -7.760846),False
aplicares_3880,RSUD WALUYO JATI,R,Rumah Sakit,-7.7616336248940945,113.43759163367747,POINT(113.43759163367747 -7.7616336248940945),True
aplicares_3881,"dr. Mansur, M.MKes",U,Praktik Dokter,-7.75301,113.409,POINT(113.409 -7.75301),False
aplicares_3882,KALISAT,0,Puskesmas (kode 0),-8.12836,113.812,POINT(113.812 -8.12836),False
aplicares_3883,BALUNG,0,Puskesmas (kode 0),-8.26568,113.543,POINT(113.543 -8.26568),False
aplicares_3884,KARANG DUREN,0,Puskesmas (kode 0),-8.27026,113.49,POINT(113.49 -8.27026),False
aplicares_3885,RAMBIPUJI,0,Puskesmas (kode 0),-8.21,113.605,POINT(113.605 -8.21),False
aplicares_3886,NOGOSARI,0,Puskesmas (kode 0),-8.26007,113.57,POINT(113.57 -8.26007),False
aplicares_3887,KENCONG,0,Puskesmas (kode 0),-8.28314,113.382,POINT(113.382 -8.28314),False
aplicares_3888,CAKRU,0,Puskesmas (kode 0),-8.28597,113.336,POINT(113.336 -8.28597),False
aplicares_3889,JOMBANG,0,Puskesmas (kode 0),-8.22874,113.317,POINT(113.317 -8.22874),False
aplicares_3890,WULUHAN,0,Puskesmas (kode 0),-8.33782,113.552,POINT(113.552 -8.33782),False
aplicares_3891,LOJEJER,0,Puskesmas (kode 0),-8.36385,113.502,POINT(113.502 -8.36385),False
aplicares_3892,PUGER,0,Puskesmas (kode 0),-8.35966,113.472,POINT(113.472 -8.35966),False
aplicares_3893,KASIYAN,0,Puskesmas (kode 0),-8.31753,113.483,POINT(113.483 -8.31753),False
aplicares_3894,MAYANG,0,Puskesmas (kode 0),-8.17909,113.8,POINT(113.8 -8.17909),False
aplicares_3895,TANGGUL,0,Puskesmas (kode 0),-8.15457,113.436,POINT(113.436 -8.15457),False
aplicares_3896,SEMBORO,0,Puskesmas (kode 0),-8.21304,113.46,POINT(113.46 -8.21304),False
aplicares_3897,KLATAKAN,0,Puskesmas (kode 0),-8.18761,113.489,POINT(113.489 -8.18761),False
aplicares_3898,AMBULU,0,Puskesmas (kode 0),-8.34825,113.608,POINT(113.608 -8.34825),False
aplicares_3899,SABRANG,0,Puskesmas (kode 0),-8.38211,113.597,POINT(113.597 -8.38211),False
aplicares_3900,ANDONGSARI,0,Puskesmas (kode 0),-8.36762,113.652,POINT(113.652 -8.36762),False
aplicares_3901,SUKOWONO,1,Puskesmas (kode 1),-8.05611,113.829,POINT(113.829 -8.05611),True
aplicares_3902,SUMBERSARI,1,Puskesmas (kode 1),-8.17877,113.707,POINT(113.707 -8.17877),True
aplicares_3903,GLADAK PAKEM,1,Puskesmas (kode 1),-8.21014,113.696,POINT(113.696 -8.21014),True
aplicares_3904,UMBULSARI,1,Puskesmas (kode 1),-8.26011,113.449,POINT(113.449 -8.26011),True
aplicares_3905,PALERAN,1,Puskesmas (kode 1),-8.22808,113.491,POINT(113.491 -8.22808),True
aplicares_3906,MUMBULSARI,1,Puskesmas (kode 1),-8.25663,113.745,POINT(113.745 -8.25663),True
aplicares_3907,GUMUKMAS,1,Puskesmas (kode 1),-8.31829,113.417,POINT(113.417 -8.31829),True
aplicares_3908,TEMBOKREJO,1,Puskesmas (kode 1),-8.27562,113.431,POINT(113.431 -8.27562),True
aplicares_3909,TEMPUREJO,1,Puskesmas (kode 1),-8.29892,113.683,POINT(113.683 -8.29892),True
aplicares_3910,CURAH NONGKO,1,Puskesmas (kode 1),-8.39717248008109,113.73251036071775,POINT(113.73251036071775 -8.39717248008109),True
aplicares_3911,BANGSALSARI,1,Puskesmas (kode 1),-8.20055,113.528,POINT(113.528 -8.20055),True
aplicares_3912,SUKOREJO,1,Puskesmas (kode 1),-8.22364,113.53,POINT(113.53 -8.22364),True
aplicares_3913,PANTI,1,Puskesmas (kode 1),-8.16678,113.626,POINT(113.626 -8.16678),True
aplicares_3914,SILO I,1,Puskesmas (kode 1),-8.18718,113.878,POINT(113.878 -8.18718),True
aplicares_3915,SILO II,1,Puskesmas (kode 1),-8.23178,113.851,POINT(113.851 -8.23178),True
aplicares_3916,JENGGAWAH,1,Puskesmas (kode 1),-8.26617,113.649,POINT(113.649 -8.26617),True
aplicares_3917,KEMUNINGSARI,1,Puskesmas (kode 1),-8.29418,113.629,POINT(113.629 -8.29418),True
aplicares_3918,AJUNG,1,Puskesmas (kode 1),-8.23276,113.656,POINT(113.656 -8.23276),True
aplicares_3919,KALIWATES,2,Puskesmas (kode 2),-8.20535,113.698,POINT(113.698 -8.20535),False
aplicares_3920,MANGLI,2,Puskesmas (kode 2),-8.1951,113.652,POINT(113.652 -8.1951),False
aplicares_3921,JEMBER KIDUL,2,Puskesmas (kode 2),-8.18134,113.692,POINT(113.692 -8.18134),False
aplicares_3922,SUMBERBARU,2,Puskesmas (kode 2),-8.11886,113.393,POINT(113.393 -8.11886),False
aplicares_3923,ROWOTENGAH,2,Puskesmas (kode 2),-8.17057,113.385,POINT(113.385 -8.17057),False
aplicares_3924,LEDOKOMBO,2,Puskesmas (kode 2),-8.1349,113.873,POINT(113.873 -8.1349),False
aplicares_3925,SUMBERJAMBE,2,Puskesmas (kode 2),-8.10021,113.894,POINT(113.894 -8.10021),False
aplicares_3926,PATRANG,2,Puskesmas (kode 2),-8.16716,113.689,POINT(113.689 -8.16716),False
aplicares_3927,ARJASA,2,Puskesmas (kode 2),-8.09585,113.756,POINT(113.756 -8.09585),False
aplicares_3928,JELBUK,2,Puskesmas (kode 2),-8.0805,113.76,POINT(113.76 -8.0805),False
aplicares_3929,PAKUSARI,2,Puskesmas (kode 2),-8.1772,113.778,POINT(113.778 -8.1772),False
aplicares_3930,SUKORAMBI,2,Puskesmas (kode 2),-8.15892,113.666,POINT(113.666 -8.15892),False
aplicares_3931,KALISAT APOTIK,A,Apotek/IFRS,-8.133778,113.821278,POINT(113.821278 -8.133778),False
aplicares_3932,INST FARMASI RSD BALUNG,A,Apotek/IFRS,-8.271174,113.54013,POINT(113.54013 -8.271174),False
aplicares_3933,BINA SEHAT APOTIK,A,Apotek/IFRS,-8.163659,113.684603,POINT(113.684603 -8.163659),False
aplicares_3934,IFRS DR SOEBANDI JEMBER,A,Apotek/IFRS,-8.151465,113.716029,POINT(113.716029 -8.151465),False
aplicares_3935,DUTA LENSA OPTIK,O,Optik,-8.17524,113.697,POINT(113.697 -8.17524),False
