jenis,nama,lat,lon,status_verifikasi,jarak_pencocokan_m
puskesmas,BESUKI,-8.209595,111.783691,terverifikasi_2_sumber,6.4
puskesmas,PASIRIAN,-8.208801,113.116089,hanya_scrape_perlu_verifikasi,
puskesmas,MOJOPANGGUNG,-8.20709,114.36326,hanya_scrape_perlu_verifikasi,
puskesmas,KALIWATES,-8.205383,113.69751,terverifikasi_2_sumber,54.1
puskesmas,PUCANGLABAN,-8.204407,112.021301,terverifikasi_2_sumber,34.2
puskesmas,TEMPEH,-8.203003,113.17572,terverifikasi_2_sumber,31.1
puskesmas,NGADIROJO,-8.201599,111.332275,terverifikasi_2_sumber,30.3
puskesmas,BANGSALSARI,-8.200684,113.52832,terverifikasi_2_sumber,38.2
puskesmas,PAMOTAN,-8.200012,112.734924,terverifikasi_2_sumber,31.8
puskesmas,LICIN,-8.19928,114.268127,hanya_scrape_perlu_verifikasi,
puskesmas,SINGOTRUNAN,-8.19651,114.37545,terverifikasi_2_sumber,381.5
puskesmas,PACITAN,-8.19574,111.10017,hanya_scrape_perlu_verifikasi,
puskesmas,MANGLI,-8.195007,113.652283,terverifikasi_2_sumber,32.8
puskesmas,SUMBERSARI,-8.194702,113.339722,hanya_scrape_perlu_verifikasi,
puskesmas,TANJUNGSARI,-8.19438,111.10987,terverifikasi_2_sumber,115.9
puskesmas,KALAK,-8.191895,111.931702,hanya_scrape_perlu_verifikasi,
puskesmas,DONGKO,-8.190918,111.568481,terverifikasi_2_sumber,42.1
puskesmas,CANDIPURO,-8.190918,113.077515,terverifikasi_2_sumber,19.8
puskesmas,KLATAKAN,-8.1875,113.489075,terverifikasi_2_sumber,14.8
puskesmas,SILO I,-8.187317,113.878296,terverifikasi_2_sumber,36.0
puskesmas,MARGOMULYO,-8.18219,112.256897,hanya_scrape_perlu_verifikasi,
puskesmas,JEMBER KIDUL,-8.181885,113.692688,terverifikasi_2_sumber,97.0
puskesmas,KALIDAWIR,-8.180603,111.977295,terverifikasi_2_sumber,49.2
puskesmas,KALIPARE,-8.17975,112.37302,hanya_scrape_perlu_verifikasi,
puskesmas,GESANG,-8.179321,113.147705,terverifikasi_2_sumber,21.1
puskesmas,MAYANG,-8.179077,113.80011,terverifikasi_2_sumber,12.2
puskesmas,SUMBERSARI,-8.178711,113.706909,terverifikasi_2_sumber,12.0
puskesmas,KETROWONOJOYO,-8.177429,111.201111,terverifikasi_2_sumber,28.4
puskesmas,PAKUSARI,-8.177002,113.778931,terverifikasi_2_sumber,104.8
puskesmas,PRINGKUKU,-8.17657,111.073,hanya_scrape_perlu_verifikasi,
puskesmas,GONDANGLEGI,-8.175476,112.634277,terverifikasi_2_sumber,35.0
puskesmas,TEKUNG,-8.174988,113.282471,terverifikasi_2_sumber,160.5
puskesmas,TUREN,-8.17454,112.68602,hanya_scrape_perlu_verifikasi,
puskesmas,KAMPAK,-8.1745,111.661682,terverifikasi_2_sumber,35.2
puskesmas,BANGUNJAYA,-8.173828,111.838074,hanya_scrape_perlu_verifikasi,
puskesmas,PAGELARAN,-8.17336,112.6289,hanya_scrape_perlu_verifikasi,
puskesmas,TULAKAN,-8.170987,111.278768,terverifikasi_2_sumber,39.2
puskesmas,ROWOTENGAH,-8.170593,113.385315,terverifikasi_2_sumber,34.8
puskesmas,KELIR,-8.167786,114.331299,terverifikasi_2_sumber,13.0
puskesmas,PATRANG,-8.167175,113.688721,terverifikasi_2_sumber,30.8
puskesmas,PANTI,-8.166809,113.626099,terverifikasi_2_sumber,11.4
puskesmas,BANDUNG,-8.165405,111.784485,terverifikasi_2_sumber,53.6
puskesmas,CAMPURDARAT,-8.161804,111.85968,hanya_scrape_perlu_verifikasi,
puskesmas,SUKORAMBI,-8.158875,113.666321,terverifikasi_2_sumber,35.7
puskesmas,SUMBERPUCUNG,-8.15703,112.49041,hanya_scrape_perlu_verifikasi,
puskesmas,PAKEL,-8.155212,111.827271,terverifikasi_2_sumber,202.6
puskesmas,SUTOJAYAN,-8.154785,112.217896,terverifikasi_2_sumber,102.6
puskesmas,TANGGUL,-8.154602,113.43573,terverifikasi_2_sumber,29.9
puskesmas,LABRUK,-8.151611,113.200317,terverifikasi_2_sumber,9.9
puskesmas,BUBAKAN,-8.150546,111.264875,terverifikasi_2_sumber,41.6
puskesmas,TUNGGANGRI,-8.150208,111.957886,terverifikasi_2_sumber,10.1
puskesmas,WONOKARTO,-8.148146,111.350499,hanya_scrape_perlu_verifikasi,
puskesmas,KESAMBEN,-8.14502,112.360718,hanya_scrape_perlu_verifikasi,
puskesmas,KADEMANGAN,-8.141724,112.145081,terverifikasi_2_sumber,9.4
puskesmas,PENANGGAL,-8.140991,113.043884,terverifikasi_2_sumber,11.6
puskesmas,KETAWANG,-8.14018,112.64323,terverifikasi_2_sumber,13.1
puskesmas,PUNUNG,-8.135193,111.008728,terverifikasi_2_sumber,80.3
puskesmas,LEDOKOMBO,-8.13501,113.873474,terverifikasi_2_sumber,53.6
puskesmas,BALESONO,-8.134583,111.985901,terverifikasi_2_sumber,22.1
puskesmas,ROGOTRUNAN,-8.131775,113.231079,terverifikasi_2_sumber,16.4
puskesmas,KANIGORO,-8.130676,112.219299,hanya_scrape_perlu_verifikasi,
puskesmas,SELOPURO,-8.128601,112.31427,hanya_scrape_perlu_verifikasi,
puskesmas,KALISAT,-8.128296,113.812073,terverifikasi_2_sumber,10.7
puskesmas,BANJAREJO,-8.122986,112.047485,hanya_scrape_perlu_verifikasi,
puskesmas,REJOTANGAN,-8.122009,112.083679,terverifikasi_2_sumber,40.0
puskesmas,BENDILWUNGU,-8.121277,111.953674,terverifikasi_2_sumber,35.9
puskesmas,JATIROTO,-8.1203,113.358704,terverifikasi_2_sumber,7.1
puskesmas,KARANGANYAR,-8.11908,111.731506,terverifikasi_2_sumber,55.8
puskesmas,SUMBERBARU,-8.118713,113.393494,terverifikasi_2_sumber,56.8
puskesmas,BOYOLANGU,-8.117615,111.89447,terverifikasi_2_sumber,51.8
puskesmas,KROMENGAN,-8.11641,112.575,hanya_scrape_perlu_verifikasi,
puskesmas,PULE,-8.115601,111.56311,terverifikasi_2_sumber,12.1
puskesmas,GONDO KUSUMAN  I,-8.112488,111.161316,hanya_scrape_perlu_verifikasi,
puskesmas,PAKUALAMAN,-8.112396,111.155396,hanya_scrape_perlu_verifikasi,
puskesmas,ARJOSARI,-8.112396,111.155396,hanya_scrape_perlu_verifikasi,
puskesmas,GONDOMANAN,-8.112305,111.14447,hanya_scrape_perlu_verifikasi,
puskesmas,GONDOSARI,-8.112183,111.138916,hanya_scrape_perlu_verifikasi,
puskesmas,UPTD KESEHATAN KEC. SUKOREJO,-8.109009,112.157104,terverifikasi_2_sumber,16.8
puskesmas,DONOROJO,-8.106628,110.988708,hanya_scrape_perlu_verifikasi,
puskesmas,NGRAYUN,-8.104492,111.450684,hanya_scrape_perlu_verifikasi,
puskesmas,SENDURO,-8.101379,113.098083,terverifikasi_2_sumber,24.0
puskesmas,WAJAK,-8.100891,112.735291,terverifikasi_2_sumber,325.8
puskesmas,SANANKULON,-8.100708,112.148071,hanya_scrape_perlu_verifikasi,
puskesmas,SUMBERJAMBE,-8.100708,113.894714,terverifikasi_2_sumber,96.1
puskesmas,NGUNUT,-8.099487,112.004517,terverifikasi_2_sumber,53.8
puskesmas,SURUH,-8.097778,111.632507,terverifikasi_2_sumber,56.4
puskesmas,BARUHARJO,-8.096802,111.830688,terverifikasi_2_sumber,40.4
puskesmas,ARJASA,-8.095703,113.755676,terverifikasi_2_sumber,39.2
puskesmas,POGALAN,-8.09552,111.743713,terverifikasi_2_sumber,31.8
puskesmas,UPTD KESEHATAN KEC. SANANWETAN,-8.09491,112.174927,hanya_scrape_perlu_verifikasi,
puskesmas,KEPANJEN,-8.09488,112.58433,terverifikasi_2_sumber,13.5
puskesmas,KEDUNGBENDO,-8.09257,111.22237,hanya_scrape_perlu_verifikasi,
puskesmas,DONOROJO,-8.092407,111.819885,hanya_scrape_perlu_verifikasi,
puskesmas,TALUN,-8.089905,112.286072,hanya_scrape_perlu_verifikasi,
puskesmas,UPTD KESEHATAN KEC. KEPANJENKIDUL,-8.088989,112.167297,hanya_scrape_perlu_verifikasi,
puskesmas,WLINGI,-8.086487,112.320129,terverifikasi_2_sumber,16.9
puskesmas,PADANG,-8.085815,113.191284,terverifikasi_2_sumber,23.3
puskesmas,BEJI,-8.083923,111.907288,terverifikasi_2_sumber,33.0
puskesmas,SUMBERGEMPOL,-8.081604,111.946716,terverifikasi_2_sumber,63.4
puskesmas,KARANGAN,-8.080994,111.661682,terverifikasi_2_sumber,75.1
puskesmas,JELBUK,-8.080383,113.759888,terverifikasi_2_sumber,17.9
puskesmas,BULULAWANG,-8.079895,112.641907,terverifikasi_2_sumber,367.5
puskesmas,TRENGGALEK,-8.076294,111.707275,terverifikasi_2_sumber,54.2
puskesmas,DURENAN,-8.076111,111.794128,hanya_scrape_perlu_verifikasi,
puskesmas,SLAHUNG,-8.075806,111.420471,hanya_scrape_perlu_verifikasi,
puskesmas,NGAJUM,-8.075806,112.520874,hanya_scrape_perlu_verifikasi,
puskesmas,GONDANG,-8.074707,111.845276,terverifikasi_2_sumber,30.5
puskesmas,TULUNGAGUNG,-8.070679,111.901672,terverifikasi_2_sumber,15.1
puskesmas,BAGO,-8.069885,111.909119,hanya_scrape_perlu_verifikasi,
puskesmas,RANDUAGUNG,-8.06781,113.296326,hanya_scrape_perlu_verifikasi,
puskesmas,TUNJUNG,-8.067688,113.334473,terverifikasi_2_sumber,58.1
puskesmas,PAKISAJI,-8.063477,112.600281,hanya_scrape_perlu_verifikasi,
puskesmas,NGULANKULON,-8.062927,111.742493,hanya_scrape_perlu_verifikasi,
